abstract,title,pmc,pmid,publication_year
"Introduction As a natural phenomenon in the patient’s medication therapy, medication clinical complications potentially or concretely interrupt medical care consequential productivity for the patients. Medication related clinical complications include drug errors, drug side effects, drug interactions and drug usage-related challenges. The present research intends to explore the role that the Pharmacy Information System (PIS) may play in the management of medication complications with reference to the pharmaceutical societies of America and Australia in selected teaching, private and social services hospitals of the city of Isfahan. Methodology As an applied, descriptive-analytical study, this study has been conducted in teaching, private and social services hospitals situated in the city of Isfahan in 2011. The research population consisted of the PISs used in the hospitals under study. Research sample was the same as the population. The data collection instrument used was a self-designed checklist developed based on the guidelines of the American Society of Health System Pharmacists and Pharmaceutical Society of Australia validity of which was assessed by expert professors’ views. The data, collected by observation and interview methods, were put into SPSS 18 software to be analyzed. Findings The findings of the study revealed that among the 19 hospitals in question, the highest and lowest ranks in observing the societies of the pharmacists’ established standards related to medication therapy, i.e. registration of drug use status and drug interactions belonged to social services hospitals (mean score of %10.1) and private hospitals (mean score of %6.24), respectively. Conclusion Based on the findings, it can be claimed that the hospitals in question did not pay due attention to standards established by the societies of pharmacists regarding the medication therapy including register of drug usage status, drug interactions and drug side effects in their PISs. Hence, more thought must be given to the capabilities of the PIS in supporting the medication-related decisions and drug errors management so as to promote the treatment quality and satisfy medication therapy goals.",The Role of Evaluation Pharmacy Information System in Management of Medication Related Complications,3610581,23572858.0,2013
"Introduction The answer to the question of what a database is and what is its relevance to the scientific research is not easy. We may not be wrong if we say that it is, basically, a kind of information resource, often incomparably richer than it is, for example, a single book or magazine. Discussion and conclusion As a form of storing and retrieval of the knowledge, appeared in the information age, which we’ve just participated and witnesses. In it, thanks to the technical possibilities of information networks, it can be searched for a number of more or less relevant information, and that scientific and profound content. Databases are divided into: bibliographic databases, citation databases and databases containing full-text. In the paper are shortly presented most important on-line databases with their web site links. Thanks to those online databases scientific knowledge is spreading much more easy and useful.",Selective databases distributed on the basis of Frascati manual,3610588,23572867.0,2013
"Introduction: The aim of prenatal diagnosis is to detect fetal structural and genetic abnormalities. Used are different medical methods, procedures, processes and techniques. For this reason we can speak about the prevention and detection of hereditary diseases and congenital anomalies in the unborn fetus. Material and methods: The authors analyzed the results of early amniocentesis tests performed during 2009 in Institute for Gynecology, Infertility and Perinatology “Mehmedbasic” in Sarajevo. Performed is 299 analysis of amniotic fluid after amnion puncture done in the Institute or at the Clinic of Gynecology and Obstetrics (GAK) Sarajevo. Results and Discussion: Indications for the performance of early amniocentesis were: age greater over 35 (84.9%), positive ultrasound markers (1.6%), positive biochemical markers (5.6%) and positive family history for hereditary diseases (7.9%). Detected was 19 pathological cariograms or very high 7% of the total annual number of amniocentesis. An analysis of the distribution of pregnant women in relation to the indication of the result of cytogenetic analysis for each table made positive predictive value (PPV). For indicator age PPV was 0.11, 0.66 for ultrasound markers, for biochemical markers 0.13, for other indications–0.04. The logistic regression model (odds -ratio 11.234 ) indicate a positive ultrasound findings in relation to the year indicates that the risk to gain abnormal fetal karyotype 13 times higher when using only age as an indication for early amniocentesis. Of the 19 pathological cariogram largest number refers to M.Down (10), Sy. Edwards was detected in 2 patients, Sy. Klinefelter in 3, mosaicism in 3 and translocation gene in two of the fetus. Conclusion: The authors would like to acknowledge a very high percentage of pathological cariogram risk groups, the extension of indications for RAC indicate the value of ultrasound markers as a good screening methods and the need for social incentives to perform screening tests and early amniocentesis in B&H in order to prevent genetic abnormalities.",Early Amniocentesis as a Method of Choice in Diagnosing Gynecological Diseases,3916177,24554804.0,2013
"Background: The conduct of a randomized controlled trial (RCT) is deemed ethical only if we are in state of “equipoise” as to which treatment would be most beneficial for the patients. Individual equipoise applies to an individual clinician or a member of ethical, institutional review board (IRB), whilst collective equipoise refers to the profession as a whole. It is argued that physicians are not bound by the equipoise but their actions are directed by the confines of the expert opinion. Experts can agree or disagree in various proportions on the merit of a given treatment. Hence, the collective equipoise will be often incomplete. In turn, the opinions of content expert in the field of the proposed trial influence the IRB members’ decision regarding trial approval. Methods: We conducted a survey of IRB members at University of South Florida and the IRB members attending the bioethics conference organized in Clearwater, Florida, USA. The survey was made available as hard copy (paper based) and included six hypothetical scenarios outlining clinical trials targeted at measuring the collective equipoise. We defined the collective equipoise as the situation when survey participants were equally split (50:50) in their decision regarding whether a proposed clinical trial would be ethical to conduct. The opinion of 100 experts in the field expressed as proportion of experts favoring treatment A vs. B in each of the five scenarios was made available to the participants. Results: The response rate of our survey was 33% (71/218). Fifty percent of the IRB members would approve an RCT addressing the efficacy of two drugs for the management of headache even if 80% of experts favor one treatment over another (median: 80%; third quartile: 80%). Similarly, half of participating IRB members would approve the study when the median distribution of equipoise among experts was 70% (70 in favor of treatment A vs. 30 in favor of treatment B) for treatment of leukemia, 60% for treatment of geriatric patients and 70% for treatment of newborns. Half of IRB members would approve the study when the median distribution of equipoise among experts was 70% for treatment for leukemia in dogs and 85% for leukemia in rats (and 25% of IRB members would approve such a study even if 100% of experts favors one treatment over another). None of the demographic features of respondents affected collective equipoise. Conclusions: This is the first study assessing collective equipoise among ethical committee/IRB members. Our study findings show that IRB members perceived that conduct of a trial enrolling humans is unethical when the equipoise level is beyond 80% (80:20 distribution of uncertainty). IRB members require a higher level of equipoise when it comes to testing a new drug in humans than in animals. A relatively high level of equipoise is needed for IRB members to be comfortable to approve trials involving life-threatening situations, children and elderly patients.",At What Level of Collective Equipoise Does a Randomized Clinical Trial Become Ethical for the Members of Institutional Review Board/Ethical Committees?,3804473,24167382.0,2013
"CONFLICT OF INTEREST: NONE DECLARED The preservation of ovarian function in young patients after radical hysterectomy has an important role at the post-oncologic management and preserves life quality. Ovarian transposition is a technique in order to avoid irreversible damage to the ovaries caused by irradiation. The principal surgical ways in the transposition of the ovaries is both through laparotomy and laparoscopy. Recently, the application of the robotic technology on this method seems to be promising. We performed a literature search with terms related to robotic surgery and ovarian transposition in Pubmed and Scopus. Two articles were identified dealing with this technique. Robotic assisted ovarian transposition is presented and the possible advantages and disadvantages of such a technique are discussed.",The Role of Robotics in Ovarian Transposition,3766538,24058255.0,2013
"Objective: To determine the effectiveness of the use of the SIP score and the quality of life impairment in patients with ileal conduit and orthotropic ileal derivations by Hautmann and AbolEnein/Ghoneim. Methods: Prospectively evaluated 146 patients in different age groups. In 66 patients ileal conduit derivation was performed, in 20 patients orthotropic derivation using Hautman technique was recorded and in 20 of them AbolEnein/Ghoneim was used. Prior to examining patients with urinary diversions, 40 patients with minor urological symptoms not requiring any active treatment, were surveyed in order to validate SIP score. Six months after the operation, all patients with urinary diversions filled the SIP score questionnaire. Results: Using Crombach’s Alpha equation the high reliability of SIP questionnaire was proven. Average scale value was 0,93. Using descriptive statistics mean values of all categories and dimensions of the SIP questionnaire of examined patients were determined, calculated according to the questionnaire manual being converted to percentage. Total value of SIP score for the ileal conduit group was 34,76% and in orthotropic derivation 18,52% respectively. For Hautmann procedure total SIP score was 18,35% and for AbolEnein/Ghoneim 18,7%. In the control group total SIP score was 9%. The most influential dimensions on the total score of ileal conduit were physical and psycho-social, while independent dimension did not significantly influent total SIP score. Conclusion: Taking into consideration the lack of questionnaires on quality of life for urinary derivations, SIP score as a general disease influence to the quality of life questionnaire represents a reliable alternative for objectification and quantification of the quality of life upon urinary derivation. According to this instrument, orthotropic derivations provide significantly better quality of life compared to ileal conduit.","Sickness Impact Profile (SIP) Score, a Good Alternative Instrument for Measuring Quality of Life in Patients with Ileal Urinary Diversions",3804474,24167383.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Choledochal cyst is a congenital cystic dilation of a part of bile duct that occurs most commonly in the main part of common bile duct. Diagnosis of choledochal cyst is concluded upon disproportionate expansion of extrahepatic bile duct. Symptom trias are: abdominal pain, jaundice and abdominal mass represent clinical guideline signs of diagnosis. Furthermore, hepato-biliary diseases in adults can conceal the primary condition. In addition to this, ultrasound, CT, MRI, cholangiopancreatography (ERCP), transhepatic percutane cholangiography (PTC) guide us for a detailed examination in order to verify the diagnosis. Active endoscopic cholangiography represents an important technique that provides needed anatomic solution and details in diagnosis of choledochal cyst.",Choledochal Cyst – Presentation and Treatment in an Adult,3766534,24058256.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Breast implants are medical devices that are used to augment breast size or to reconstruct the breast following mastectomy or to correct a congenital abnormality. Breast implants consist of a silicone outer shell and a filler (most commonly silicone gel or saline). Approximately 5 to 10 million women worldwide have breast implants. Histomorphometric study to evaluate the biological tissue compatibility of silicone implants suitable for plastic surgery and the adverse effects and risks of this material. Thirty Wistar white rats received subcutaneous implants and the revestiment of silicone gel Silimed ®®, and randomized into six groups of five animals each, according to the type of implanted material and the time of sacrifice. Eight areas of 60.11mm2 corresponding to the obtained surgical pieces were analyzed, counting mesenchymal cells, eosinophils, and foreign body giant cells, observing an acceptable biocompatibility in all implants, for subsequent statistical analysis by Tukey test. Silicone gel showed inflammation slightly greater than for other groups, with tissue reactions varying from light to moderate, whose result was the formation of a fibrous capsule around the material, recognized by the organism as a foreign body. Despite frequent local complications and adverse outcomes, this research showed that the silicone and top layer presented an acceptable chronic inflammatory reaction, which did not significantly differ from the control group. In general, it is possible to affirm that silicone gel had acceptable levels of biocompatibility, confirmed the rare presence of foreign body giant cells, and when of the rupture, formed a fibrous capsule around the material, separating the material of the organism.",Evaluation of the Biocompatibility of Silicone Gel Implants – Histomorphometric Study,3766542,24039333.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Background By knowing the different students’ learning styles, teachers can plan their instruction carefully in ways that are capitalized on student preferences. The current research is done to determine specific learning styles of students. Method This cross sectional study was conducted in Al Ahsa College of Medicine from 2011 to 2012. A sample of 518 students completed a questionnaire based on Kolb inventory (LSI 2) to determine their learning style. A spreadsheet was prepared to compute all the information to get the cumulative scores of learning abilities and identify the learning styles. Results The mean values of the learning abilities; active experimentation (AE), reflective observation (RO), abstract conceptualizing (AC) or concrete experience (CE) for male students were 35, 28, 30 and 26 respectively while they were 31, 30, 31 and 29 respectively for female students. There were significant difference between male and female students regarding the mean values of AE-RO (6.7 vs 1.5) and AC-CE (4.1 vs 2.1). This indicated that the style of male students were more convergent and accommodating than those of female students. The female had more assimilating and divergent styles. Conclusion Learning style in Saudi medical students showed difference between males and females in the early college years. Most male students had convergent and accommodating learning styles, while the female dominant learning styles were divergent and assimilating. Planning and implementation of instruction need to consider these findings.",Assessment of Learning Style in a Sample of Saudi Medical Students,3766540,24058248.0,2013
"Introduction: Today, intensive care needs to be increased with a prospect of an aging population and socioeconomic factors influencing health intervention, but there are some problems in the intensive care environments, it is essential to resolve. The intensive Care information system has the potential to solve many of ICU problems. The objective of the review was to establish the impact of intensive care information systems on the practitioners practice, patient outcomes and ICU performance. Methods: Scientific databases and electronic journal citations was searched to identify articles that discussed the impacts of intensive care information system on the practices, patient outcomes and ICU performance. A total of 22 articles discussing ICIS outcomes was included in this study from 609 articles initially obtained from the searches. Results: Pooling data across studies, we found that the median impact of ICIS on information management was 48.7%. The median impact of ICIS on user’ outcomes was 36.4%, impact on saving tips by 24%, clinical decision support by a mean of 22.7%, clinical outcomes improved by a mean of 18.6%, and researches improved by 18%. Conclusion: The functionalities of ICIS are growing day by day and new functionalities are available with every major release. Better adoption of ICIS by the intensive care environments emphasizes the opportunity of better intensive care services through patient oriented intensive care clinical information systems. There is an immense need for developing guidelines for standardizing ICIS to to maximize the power of ICISs and to integrate with HISs. This will enable intensivists to use the systems in a more meaningful way for better patient care. This study provides a better understanding and greater insight into the effectiveness of ICIS in improving patient care and reducing health care expenses.",Intensive Care Information System Impacts,3804507,24167389.0,2013
"This article gives contemporary review on the forearm approach for percutaneous diagnostic and interventional coronary procedures. Advantages and disadvantages as well as practical issues and current controversies regarding both radial and ulnar artery approach are discussed throughout the paper. Having in mind advantages of forearm approach in terms of safety and comfort over the traditional femoral approach, as well as the rapid development of invasive technology in the past years, it will probably become the default vascular approach for all percutaneous coronary procedures in the near future.",Forearm Approach for Percutaneous Coronary Procedures,3916167,24554806.0,2013
"In scientific circles, the reference is the information that is necessary to the reader in identifying and finding used sources. The basic rule when listing the sources used is that references must be accurate, complete and should be consistently applied. On the other hand, quoting implies verbatim written or verbal repetition of parts of the text or words written by others that can be checked in original. Authors of every new scientific article need to explain how their study or research fits with previous one in the same or similar fields. A typical article in the health sciences refers to approximately 20-30 other articles published in peer reviewed journals, cite once or hundreds times. Citations typically appear in two formats: a) as in-text citations where the sources of information are briefly identified in the text; or b) in the reference list at the end of the publication (book chapter, manuscript, article, etc.) that provides full bibliographic information for each source. Group of publishers met in Vancouver in 1978 and decided to prescribe uniform technical propositions for publication. Adopted in the 1979 by the National Library of Medicine in Bethesda, then the International Committee of Medical Journals Editors (ICMJE), whose review in 1982 entered the official application by 300 international biomedical journals. Authors writing articles for publication in biomedical publications used predominantly citation styles: Vancouver style, Harward style, PubMed style, ICMJE, APA, etc. The paper gives examples of all of these styles of citation to the authors in order to facilitate their applications. Also in this paper is given the review about the problem of plagiarism which becomes more common in the writing of scientific and technical articles in biomedicine.",The Importance of Proper Citation of References in Biomedical Articles,3804522,24167381.0,2013
"CONFLICT OF INTEREST: NONE DECLARED The aim  of the study was detection of diastolic dysfunction of myocardium with Tissue Doppler Imaging (TDI) in asymptomatic type 2 diabetic patients, in five years duration of disease, and normal cardiac function on conventional echocardiography (CE), according to the performance showed on exercise stress test. Material and Methods We studied 300 patients, of them 150 patients with non-obese, normotensive, uncomplicated type 2 diabetes, in five years duration of disease and 150 healthy control subjects. Of all patients, 100 with type 2 diabetes, and 100 patients from the control group underwent exercise test on a treadmill. All participants underwent both CE and TDI echocardiography. With TDI, lateral E’ peak velocity, atrial velocity (A’), their ratio (E’/A’) and systolic velocity (S’) were measured. Diastolic dysfunction was diagnosed by tissue Doppler imaging, and the following criterion was met: E’/A’ ratio <1. Cardiac function with CE was without significant features in the two groups. Results and Discussion Using TDI interrogation, diabetic subjects showed a lower E’ velocity (10,75±1,2 vs. 14±3 cm/s, p<0,001), an increased A’ velocity (10,65±1,8 vs. 11±3 cm/s, p<0,02), and a reduced E/A ratio (0,82±0,04 vs. 1,17±1,4, p<0,001), S (8.92±3,80 vs. 9,30±3.30 cm/sec); E/A (1,17±0.55, p<0,01). In diabetic patients, after the exercise stress test performance, the myocardial velocity increase is registered for wave E’=1,27 cm/sec (12,01%), for wave A’=1,7 cm/sec (15,9%), reduced ratio E’/A’ (0.89±0,1 cm/sec 9,0%) and S’=1,3 cm/sec (14,77%). Whereas, mean myocardial velocity values in examined control group after the exercise stress test were higher as follows: E’=2,7 cm/sec (19%), A’=2,1 cm/sec (14%), E’/A’=0,8 cm/sec (12%), and S’=2,7 cm/sec (18%). Myocardial diastolic dysfunction due to reduced exercise tolerance can be evidenced by TDI in type 2 diabetic subjects, even in the presence of a normal cardiac function with CE and symptom free diabetic patients in rest. Therefore, our findings could justify the use of Tissue Doppler imaging for diastolic function assessment in diabetics with otherwise non significant features on CE.",Left Ventricular Diastolic Dysfunction in Asymptomatic Type 2 Diabetic Patients: Detection and Evaluation by Tissue Doppler Imaging,3766541,24039335.0,2013
"Introduction: This study seeks to determine the expertise, use, and satisfaction of faculty members of Babol University of Medical Sciences, using the provided online information services by the university. Methods: This study is descriptive and analytical survey and the information gathering was through the questionnaireand the samples, based on the random of  Kerjesi  and  Morgan  Table sample size determination that was selected through stratified sampling proportionately to the size of the departments which summed up to 155 of which 113 responded to the mailed questionnaire. Results: The results of the study show that among the various data sources such as books, journals and internet, faculty members have more undemandingand convenient access to the Internet compared to other resources use, however, half of the information needs of faculty members, 57 (50.4 percent) are provided by the printed books;and the databases available to the University and used by faculty members are PubMed with 76.1% and Science direct with 53.1% and Iranmedex with 46.9%.Only 17% of faculty members have the absolute contentment of the Internet information services,and more than half of the respondents (58.4%) expressed the low speed of Internet service as their major reason for their dissatisfaction of the provided services. Practical implications: Use and Satisfaction of Internet-Based Information Services of Faculty Members. Discussion: Using the Internet to provide the needed information with an index of 46%is a significant issue. The results of the study show that among the various data sources such as books, journals and internet, faculty members have more undemandingand convenient access to the Internet and their access to printed books was really hard and limited, although the internet was more convenient to acquire information, most of the information needs of faculty members are provided by the printed books based on what they expressed. The study showed that the use and acquaintance of the sample of the information databases is very lowand only a few of them have the full satisfaction of the provided Internet information services and the main foremost reason for this major dissatisfaction is the low-speed Internet services at the University.",The Use of Information Sources by Faculty Members of Babol University of Medical Sciences: a Case Study from Iran,3804500,24167388.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Introduction Electronic Medical Records (EMRs) are computerized medical information systems that collect, store and display patient information. They are means to create legible and organized recordings and to access clinical information about individual patients. Despite of the positive effects of the EMRs usage in medical practices, the adoption rate of such systems is still low and meets resistance from physicians. The EHRs represent an essential tool for improving both in the safety and quality of health care, though physicians must actively use these systems to accrue the benefits. This study was unsystematic-review. Aim The aim of this study was to express barriers perceived y physicians to the adoption of the EHRs. Method of the study This study was non-systematic reviewed which the literature was searched on barriers perceived by physicians to the adoption of Electronic Health Records (EHRs) with the help of library, books, conference proceedings, data bank, and also searches engines available at Google, Google scholar. Discussion For our searches, we employed the following keywords and their combinations: physicians, electronic medical record, electronic health record, barrier, and adoption in the searching areas of title, keywords, abstract, and full text. In this study, more than 100 articles and reports were collected and 27 of them were selected based on their relevancy. Electronic health record use requires the presence of certain user and system attributes, support from others, and numerous organizational and environment facilitators.",Barriers for Adopting Electronic Health Records (EHRs) by Physicians,3766548,24058254.0,2013
"Introduction: Gastric cancer is one of the most common tumors in humans and is on the 14th place by frequency in the United States and it is at the 8th place by the mortality rate. In the world it takes seventh place by incidence. Today prevail the opinion and the surveys show, that it is twice as common in men as compared to women. Although there are advancements in diagnostics it must be noted that gastric cancer is still discovered late and when it already has metastasized, so that the therapeutic approach is limited and low survival rate. Patients and Methods: The study was retrospective-prospective, which covered the period from 2011 to 2012 and was performed at the Clinic of Gastroenterohepatology, Clinical Center of Sarajevo University. The study included 50 patients with gastric cancer, 34 men and 16 women. All patients underwent gastroscopy and according to tumor lesions localization divided into 3 regions: cardia, corpus and antropyloric region. Tumor lesions were biopted with histologically confirmation of gastric wall cancer. All patients underwent CT of gastric wall, CT of the abdomen and in some cases EUS was performed also. Goal: To prove by available diagnostic methods (endoscopy, CT and EUS) the presence of gastric cancer, histologically validate it and determine localization according to regions. To determine by CT the thickness of the stomach wall or the penetration of tumor lesions, the presence of enlarged lymph nodes and possible metastases. Record by EUS the progression of malignant processes in depth to layers of the wall, surrounding tissue metastases and enlarged lymph nodes. Determine the correlation between the measured parameters. Results: Our study showed that the localization of tumors at the cardia was represented in 15.31%, corpus in 17.36% and antropyloric region 16.33%. Median age he was 65.5 years with a standard deviation of 11.04. We failed to demonstrate a statistically significant difference in verified findings by EUS and age as well as endoscopic findings and age. Also there is no statistically significant difference between the CT scan and endoscopy XT = 5.99 and α = 0.05 = 0.63 XE, XE <Xt. There is a significant difference between the results of CT by age groups (XT = 3.84 at α = 0.05, XF = 0.05, EE> XT) and endoscopic findings and age (XT = 3.84 at α = 0.01, = 0.01 XE, XE> XT). Conclusion: Our study showed that gastric cancer are more common in men than women, metastases were more common in the elderly population, there were no significant deviations from the endoscopic findings and CT findings. EUS was performed in a small number of patients and showed as a good method because it gave accurate information about the penetration depth. Endoscopy, EUS and CT are ideal methods in diagnostic and staging of gastric cancer before the surgery.","Comparability of Diagnostic Methods: Proximal Endoscopy, CT and EUS in Determining Stomach Tumor Localization and their Importance in the Preoperative Analysis of Process Progression",3916169,24554798.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Introduction P-wave abnormalities on the resting electrocardiogram have been associated with cardiovascular or pulmonary disease. So far, “Gothic” P wave and verticalization of the frontal plane axis is related to lung disease, particularly obstructive lung disease. Aim We tested if inverted P wave in AVl as a lone criteria of P wave axis >70° could be screening tool for emphysema. Material and method 1095 routine electrocardiograms (ECGs) were reviewed which yielded 478 (82,1%) ECGs with vertical P-axis in sinus rhythm. Charts were reviewed for the diagnosis of COPD and emphysema based on medical history and pulmonary function tests. Conclusion Electrocardiogram is very effective screening tool not only in cardiovascular field but in chronic obstructive pulmonary disease. The verticality of the P axis is usually immediately apparent, making electrocardiogram rapid screening test for emphysema.",United in Prevention–Electrocardiographic Screening for Chronic Obstructive Pulmonary Disease,3766537,24058253.0,2013
"The Aim: To show histopathological diagnoses after colonoscopic polypectomy in the University Hospital Center (KBC) Split with recommendations on further follow-up colonoscopy depending on the endoscopic and histological findings. Patients and Methods: The study included 2842 patients who underwent colonoscopy in a two-year period (2008-2009), followed by a detailed analysis of 350 patients in which one or more polyps were simultaneously removed and 163 patients who were only sampled for histological analysis. Patients from the National Program for Colorectal Cancer Prevention and patients in which colonoscopy is indicated as part of daily outpatient or inpatient treatment were included as well. Results: During 2008 and 2009 in KBC Split, out of a total of 2842 colonoscopies, 350 patients underwent colonoscopic polypectomy, whereby 618 polyps were removed (1-8 polyps in individual patients), while in 163 patients only biopsy specimens were sampled. Out of the total of 557 polyps sent for histological analysis, 236 were hyperplastic (42%), 193 were identified as tubular adenoma (35%), 84 were tubulovillous (15%), 18 villous (3%), 9 were adenocarcinoma (2%) and other 17 (3%). In 35 (15.4%) polyps high-grade dysplasia was found. The largest number of nonpolypectomized changes confirmed the presence of adenocarcinoma (76-47%), adenomas and hyperplastic polyps were 37 (22%) and regular findings 23 (14%). Mucosal high-grade dysplasia was demonstrated in 35 (23.1%) biopsied changes. Conclusion: Colonoscopies with polypectomy decreased the risk of the formation of colorectal cancer in these patients almost to the level of risk in patients who have not even had a polyp during colonoscopy. Arguably the best method of prevention and early detection of colorectal cancer are already widely established national programs. The next qualitative level is constantly improving the quality of colonoscopy with clear criteria and the establishment of a body to evaluate the performers and the equipment, and making recommendations on the colonoscopy follow-up intervals depending on endoscopic and histopathological findings of patients who for any reason underwent colonoscopy.",Colonoscopic Polypectomies and Recommendations on the Colonoscopy Follow-up Intervals Depending on Endoscopic and Histopathological Findings,3804476,24167384.0,2013
"Introduction: Studies indicate that using interventions including education may improve medical record documentation and decrease incomplete files. Since physicians play a crucial role in medical record documentation, the researchers intend to examine the effect of educational intervention on physicians’ performance and knowledge about principles of medical diagnosis recording among residents in Hormozgan University of Medical Sciences(HUMS). Methods: This quasi-experimental study was conducted in 2010 on 40 specialty residents (from internal medicine, obstetrics and gynecology, pediatrics, anesthesiology and surgery specialties) in Hormozgan University of Medical Sciences. During a workshop, guidelines for recording diagnostic information related to given specialty were taught. Before and after the intervention, five medical records from each resident were selected to assess physician performance about chart documentation. Using a questionnaire, physicians’ knowledge was investigated before and after intervention. Data were analyzed through one-way ANOVA test. Results: Change in physicians’ knowledge before and after education was not statistically significant (p = 0.15). Residents’ behavior did not have statistically significant changes during three phases of the study. Conclusion: Diversity of related factors which contributes to the quality of documentation compels portfolio of strategies to enhance medical charting. Employing combination of best practice efforts including educating physicians from the beginning of internship and applying targeted strategy focus on problematic areas and existing gap may enhance physicians’ behavior about chart documentation.",The Effect of Educational Intervention on Medical Diagnosis Recording among Residents,3804502,24167386.0,2013
"Introduction: Asthma and allergies in addition to demanding social costs–the economic community, one of the major causes of morbidity and mortality in the world is considered. In the last decade in Iran despite the positive developments in many areas of health records into categories based asthma and allergy international standards, less attention has been paid. Improving the quality of care system, identifying groups at risk of asthma and allergies, control plan, prevention and assessment of asthma and allergies due to possible that when allergy and asthma information registration system and create the complete and timely data to be collected. Considering now an efficient national system of registration allergy and asthma that can meet the health needs can no need for this study was felt. Materials and Methods: This study, study–the comparison was done in the years 2010-2011. In this research, using library resources, information networks and consultations with experts inside the country gathered on the main axis and branches of national registration system, asthma and allergies in American countries–Australia and England were examined and given economic conditions, cultural and geographical themes for our records system, the axes were proposed objectives, structure, data elements, standard registration process? Data and classification systems are given. Results: The proposed model for national registration system, asthma and allergies in the country is shown in a table. In this table the proposed system based on six main “targets”, “structure”, “data elements”, “data collection process,” “registration criteria” and “classification system” is designed. Conclusion: The results and recommendations to the International Institute for asthma and allergies, reduction in low registers, and can increase the quality of the proposed model, including advantages in comparison with the existing system of the country noted.",Proposed Model for Iranian National System of Registration of Allergy and Asthma,3804503,24167391.0,2013
"Introduction: National hospital discharge data system can play a critical role in community health assessment, disease surveillance, strategic planning, policymaking, service quality control, and research. Moreover, the quality of hospital discharge data affects the usefulness of the data and is one of the prerequisites for effective utilization of the data. Thus, the present study aimed to identify the necessary actions for improving the data quality in the national hospital discharge data system and present a model for Iran based on the experiences of England, Canada, and New Zealand. Methods: In doing so, the measures performed in these countries were investigated. The related data were organized in six categories of standards and procedures, training and coordination with the users, assurance from the capability of the system’s software, data modification, data quality control, and documentation and reporting the data quality. According to the gathered data, the primary model was designed. Then, the model was assessed using a two-round Delphi technique by 33 and 31 experts, respectively. Conclusion: According to the findings, a model was presented in order to improve the data quality of Iran’s national hospital discharge data system.",Strategies for Improving the Data Quality in National Hospital Discharge Data System: a Delphi Study,3916160,24554802.0,2013
"Introduction Today, health information technologies are base of health services and Electronic Medical Record is one of them. The purpose of this paper is to investigate the Technology Acceptance Model (TAM) on EMR at Central Polyclinic Oil Industry that is a pioneer in implementation of EMR in Isfahan. Methods This study was an applied and analytical survey that it was done at the Central Polyclinic Oil Industry. Because statistical population were limited, sampling bas been done by conducting the census and the sample was according to the population. The data was collected by a researcher-made questionnaire that it was validated by experts and its reliability was confirmed by test retest. The questionnaire was developed in 5 scopes including external factors (data quality and user interface), perceived usefulness, perceived ease of usefulness, attitude toward using, and behavioral intention to use. The Results analyzed by SPSS. Results There was a significant relationship between data quality with PU(r=/295, p</0001) and PEU(r=/499, p</0001). Also there was a significant relationship between user interface with PU(r=/543, p</0001) and PEU(r=/477, p</0001). PU and PEU had a significant relationship with attitude respectively (r=/590, p</0001; r=/605, p</0001). In addition attitude had a significant relationship with behavioral intention to use (r=/734, p</0001). There was no significant relationship between data quality with attitude (r=/161, p>/005). Discussion The survey of the scopes in the polyclinic showed that there is relationship among user interface, perceived usefulness, perceived ease of usefulness, attitude toward using, and behavioral intention to use, but data quality has no relationship with attitude. It seems the system designers didn’t consider to data quality characteristics. It is proposed that they consult with health information management professionals for improvement the existing system.",Electronic Medical Record in Central Polyclinic of Isfahan Oil Industry: A Case Study Based on Technology Acceptance Model,3610586,23572857.0,2013
"Introduction: Cardiovascular disease, among which the most common is coronary disease of the hearth are the main cause of death at middle aged persons in the majority of European countries. Percent of cardiovascular disease in overall mortality among our population is even more than 50%. Up to 55 years of live myocardial infarction is by 5-6 times more common among men, and up to age of 75 years that difference decreases to 2.5 times. Goal: The goal of this study is to determine the diagnostic value of 64 slices computerized tomography in detection of coronary disease compared to classic, invasive coronography. Material and methods: Study included 50 patients, of both genders, at average age of 60 years. Patients underwent CT coronography as well as classic coronography. Results: Our research prove that the sensitivity of MSCT coronography 92% with positive predictive value of 86%. Mayor difference was in the analysis of CX artery in the evaluation of significant and non-significant stenosis in application of these two methods. During the analysis of LAD and RCA artery there was no statistically significant difference in findings of these two methods. Conclusion: CT coronography is non-invasive, comfortable and reliable method in coronary disease diagnostics. Thanks to its high sensitivity and PPV it enables reliable exclusion of coronary disease and takes significant place in a cardiovascular diseases diagnostic algorithm.",Diagnostic Capabilities of 64 Slice CT Coronography Compared to Classic in Coronary Disease Detection,3804482,24167394.0,2013
